property,relation
P355,gpe:subsidiaries
P4970,org:alternate_names
P159,org:city_of_headquarters
P159,org:country_of_headquarters
P576,org:date_dissolved
P571,org:date_founded
,org:dissolved
,org:founded
P112,org:founded_by
,org:member_of
,org:members
,org:number_of_employees/members
P749,org:parents
P3075,org:political/religious_affiliation
,org:shareholders
P159,org:stateorprovince_of_headquarters
P355,org:subsidiaries
,org:top_members/employees
P856,org:website
,per:age
P4970,per:alternate_names
P509,per:cause_of_death
P1399,per:charges
,per:children
P551,per:cities_of_residence
P19,per:city_of_birth
P20,per:city_of_death
P551,per:countries_of_residence
P19,per:country_of_birth
P20,per:country_of_death
P569,per:date_of_birth
P570,per:date_of_death
P108,per:employee_of
P463,per:member_of
P1321,per:origin
,per:other_family
,per:parents
P140,per:religion
P69,per:schools_attended
P69,per:schools_attended
P3373,per:siblings
P26,per:spouse
P19,per:stateorprovince_of_birth
P20,per:stateorprovince_of_death
P551,per:stateorprovinces_of_residence
P39,per:title